	Season	Episode	Category	Q_person	A_person	Q_original	A_original	Q_modified	A_modified	Annotation_1	Annotation_2	Annotation_3	Goldstandard
0	1	1	1	Chandler	Phoebe	All right Joey, be nice.  So does he have a hump? A hump and a hairpiece?	Wait, does he eat chalk?	So does he have a hump? A hump and a hairpiece?	Wait, does he eat chalk?	5	5	5	5
1	1	1	1	Joey	Chandler	Instead of...?	That's right.	Instead of...?	That's right.	1	1	1	1
2	1	1	1	Monica	Chandler	And they weren't looking at you before?!	Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!	And they weren't looking at you before?!	Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!	5	5	5	5
3	1	1	1	Ross	Phoebe	No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?	Fine!  Be murky!	Stop cleansing my aura! No, just leave my aura alone, okay?	Fine!  Be murky!	1	1	1	1
4	1	1	1	Ross	Joey	(scornful) Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?	Great story!  But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea...  Oh man, (looks to Chandler)	Do the words 'Billy, don't be a hero' mean anything to you?	Great story!	1	5	5	5
5	1	1	1	Monica	Rachel	I know, he's just so, so... Do you remember you and Tony DeMarco?	Oh wow. Are you in trouble.	I know, he's just so, so... Do you remember you and Tony DeMarco?	Oh wow. Are you in trouble.	1	1	1	1
6	1	1	1	Monica	Joey	I just thought he was nice, y'know?	(bursts out laughing again) I can't believe you didn't know it was a line!	I just thought he was nice, y'know?	I can't believe you didn't know it was a line!	2	2	5	2
7	1	1	1	Monica	Frannie	You mean you know Paul like I know Paul?	Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years.	You mean you know Paul like I know Paul?	Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years.	1	1	1	1
8	1	1	1	Joey	Monica	That wasn't a real date?! What the hell do you do on a real date?	Shut up, and put my table back.	That wasn't a real date?!	Shut up, and put my table back.	5	5	4	5
9	1	1	1	Monica	Phoebe	Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?	All right, c'mere, gimme your feet. (She starts massaging them.)	Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?	All right, c'mere, gimme your feet.	5	5	5	5
10	1	1	1	Monica	Ross	Are you okay, sweetie?	I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck…	Are you okay, sweetie?	I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck…	2	2	2	2
11	1	1	1	Monica	Rachel	(pointing at Rachel) De-caff. (to All) Okay, everybody, this is Rachel, another Lincoln High survivor. (to Rachel) This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross?	Hi, sure!	This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross?	Hi, sure!	1	1	1	1
12	1	1	1	Monica	Paul	Oh, so there is gonna be a fifth date?	Isn't there?	Oh, so there is gonna be a fifth date?	Isn't there?	1	1	1	1
13	1	1	1	Waitress	Monica	Can I get you some coffee?	(pointing at Rachel) De-caff. (to All) Okay, everybody, this is Rachel, another Lincoln High survivor. (to Rachel) This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross?	Can I get you some coffee?	De-caff.	1	1	1	1
14	1	1	1	Monica	Ross	(to Ross) Are, are you okay? I mean, do you want me to stay?	(choked voice) That'd be good...	Are, are you okay? I mean, do you want me to stay?	That'd be good...	1	1	1	1
15	1	1	1	Joey	Phoebe	Hey Pheebs, you wanna help?	Oh, I wish I could, but I don't want to.	Hey Pheebs, you wanna help?	Oh, I wish I could, but I don't want to.	2	2	2	2
16	1	1	1	Rachel	Chandler	Isn't this amazing? I mean, I have never made coffee before in my entire life.	That is amazing.	Isn't this amazing? I mean, I have never made coffee before in my entire life.	That is amazing.	1	1	1	1
17	1	1	1	Rachel	Joey	Wow! Would I have seen you in anything?	I doubt it. Mostly regional work.	Wow! Would I have seen you in anything?	I doubt it. Mostly regional work.	3	3	2	3
18	1	1	1	Rachel	Monica	Want a wedding dress?   Hardly used.	I think we are getting a little ahead of selves here.	Want a wedding dress?   Hardly used.	I think we are getting a little ahead of selves here.	2	2	4	2
19	1	1	1	Frannie	Monica	You had sex, didn't you?	How do you do that?	You had sex, didn't you?	How do you do that?	1	4	1	1
20	1	1	1	Ross	Rachel	You got a job?	Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.	You got a job?	Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.	2	2	2	2
21	1	1	1	Rachel	Monica	Oh God, come on you guys, is this really necessary?  I mean, I can stop charging anytime I want.	C'mon, you can't live off your parents your whole life.	Oh God, come on you guys, is this really necessary? I mean, I can stop charging anytime I want.	C'mon, you can't live off your parents your whole life.	1	1	1	1
