	Season	Episode	Category	Q_person	A_person	Q_original	A_original	Q_modified	A_modified	Annotation_1	Annotation_2	Annotation_3	Goldstandard
0	6	24	2	Monica	Chandler	Yeah. I’m okay. I’m actually—I’m a little cold, can I have your jacket?	Oh, yeah. (Starts to take it off and then realizes) Uh, no you can’t have my jacket! Because then I would be cold! If you thought that you were going to be cold, you should’ve brought your own jacket. But uh, other than that, are you okay? Are you okay?	I’m actually—I’m a little cold, can I have your jacket?	You can’t have my jacket! Because then I would be cold!	2	2	2	2
1	6	10	2	Rachel	Chandler	Chandler, aren’t you worried about what to get Monica for Christmas?	No, I have a great idea for a present for her.	Chandler, aren’t you worried about what to get Monica for Christmas?	I have a great idea for a present for her.	2	2	2	2
2	2	1	3	Julie	Phoebe	Really?	You wanna do it right now?	Really? You can do that?	You wanna do it right now?	1	1	1	1
3	5	14	1	Phoebe	Chandler	I was going too. (They go inside and he closes the door.) Umm, I brought some wine. Would you like some?	Sure.	Umm, I brought some wine. Would you like some?	Sure.	1	1	1	1
4	7	6	1	Monica	Chandler	Lewis Posin! He was my best friend in fifth grade, and-and then one day I asked him to be my boyfriend and he said no. Do you know why?	Because you kept talking to him while he was trying to go to the bathroom?!	Lewis Posin! He was my best friend in fifth grade, and-and then one day I asked him to be my boyfriend and he said no. Do you know why?	Because you kept talking to him while he was trying to go to the bathroom?!	1	1	1	1
5	2	11	1	Carol	Ross	Want us to go?	Uh-huh.	Want us to go?	Uh-huh.	1	1	1	1
6	8	1	1	Joey	Ross	Ah. (To Chandler) Slow swimmers? (Chandler looks at him.)	What?! What do you mean? You-you-you’re not pregnant?	Ah. Slow swimmers?	What?! What do you mean? You-you-you’re not pregnant?	4	5	4	4
7	6	15-16	1	Ross	Rachel	That-that’s always good news. Are you okay?	Me? I’m great! I’m fine! I’m sooo good!! But, you know who’s not great?! Men! You’re a man right Ross?!	Are you okay?	Me? I’m great! I’m fine! I’m sooo good!! But, you know who’s not great?! Men! You’re a man right Ross?!	1	1	1	1
8	8	10	2	The Teacher	Phoebe	Excuse me. Can, can I help you with something?	Yes! Yes you can, I’m looking for Jack’s parents.	Can, can I help you with something?	You can, I’m looking for Jack’s parents.	1	1	1	1
9	4	3	1	Chandler	Joey	Wow! Really?! We get all this rusty crap for free?!	Uh-huh. This and a bunch of bubble wrap. And, some of it is not even popped!	Wow! Really?! We get all this rusty crap for free?!	Uh-huh. This and a bunch of bubble wrap. And, some of it is not even popped!	1	1	1	1
10	9	2	2	Ross	Rachel	Well, that’s what I’m here for. (Emma starts crying again) Want me to get that?	No its really okay… Monica!	Well, that’s what I’m here for. Want me to get that?	Its really okay… Monica!	2	2	2	2
11	6	15-16	2	Monica	Phoebe	(panicked) Oh wait! You didn’t just sit on my Kit-Kats did you?!!	No! There-there was a little, a little diff in the market and I lost 13 million dollars.	You didn’t just sit on my Kit-Kats did you?!!	There-there was a little, a little diff in the market and I lost 13 million dollars.	5	5	5	5
12	4	2	1	Joey	Chandler	I was tryin’ to make a sale!! Oh, man, if I ever run into that guy again, do you know what I’m gonna do?	BEND OVER?!!!	I was tryin’ to make a sale!! Oh, man, if I ever run into that guy again, do you know what I’m gonna do?	BEND OVER?!!!	1	1	1	1
13	7	6	1	Joey	Rachel	Hey! Well I hope it goes better than the last time you did it for that girl downstairs, remember? (Phoebe glares at him.)	(shocked) You have been maid of honor before?!!	Well I hope it goes better than the last time you did it for that girl downstairs, remember?	You have been maid of honor before?!!	4	4	4	4
14	7	18	3	Monica	Phoebe	Really? (Looks.) My God, he’s really cute.	Go for it.	Really? He’s checking me out?	Go for it.	1	1	1	1
15	6	2	1	Chandler	Monica	Y’know when we move in together, can I get a gumball machine?	Of course! Joey wouldn’t let you have one?	Y’know when we move in together, can I get a gumball machine?	Of course!	1	1	1	1
16	6	15-16	1	Joey	Ross	Just okay—Did you do it right?!	"Look, it’s just did, did you ever go to a party and think, ""Would really anyone miss me if I weren’t here?"""	Just okay—Did you do it right?!	"Look, it’s just did, did you ever go to a party and think, ""Would really anyone miss me if I weren’t here?"""	4	5	5	5
17	8	6	1	Joey	Chandler	So you think Ross too?	(To Monica) You picked Ross?!	So you think Ross too?	You picked Ross?!	4	4	4	4
18	6	21	1	Chandler	Joey	Oh that’s right. It’s your first day! So are you psyched to fight fake crime with your robot sidekick?	Am I psyched? The lead in my own TV series? I’ve dreamed about this for years! Why have I not been preparing?!	So are you psyched to fight fake crime with your robot sidekick?	Am I psyched? The lead in my own TV series? I’ve dreamed about this for years!	1	1	1	1
19	6	5	2	Joey	Monica	The ones that got me the Porsche! Will you keep up! (Chandler wipes his forehead with a baby wipe, that might have been used. He drops it disgustedly.) But I figured, if-if people keep seeing me just standing there, they’re gonna start to think that I don’t own it. So I figured I’ll wash it. Right? Monica, you got a bucket and some soap I can borrow?	Oh yeah, I got soap and sponges and rags and Carnuba wax and polishing compound.	Monica, you got a bucket and some soap I can borrow?	I got soap and sponges and rags and Carnuba wax and polishing compound.	1	1	1	1
