	Season	Episode	Category	Q_person	A_person	Q_original	A_original	Q_modified	A_modified	Annotation_1	Annotation_2	Annotation_3	Goldstandard
0	7	11	1	Monica	Phoebe	Phoebe, can I talk to you for a second?	Uh-huh. (They go over and talk.)	Phoebe, can I talk to you for a second?	Uh-huh.	1	1	1	1
1	6	13	1	Chandler	Monica	It’s all very, very good. (She covers up and sits down.) So you wanna go uh, mix it up?	Not now, I’m sick!	So you wanna go uh, mix it up?	Not now, I’m sick!	2	2	2	2
2	4	15	1	Ross	Emily	Oh, I kinda was, wasn’t I?	Oh my God!	Oh, I kinda was, wasn’t I?	Oh my God!	4	4	4	4
3	9	22	2	Chandler	Zack	You sure you don't wanna stick around a little longer?	No, no, I should get home, I'm kinda tired.	You sure you don't wanna stick around a little longer?	I should get home, I'm kinda tired.	1	1	1	1
4	1	15	1	Rachel	Monica	The meeting with the guy went great?	So great! He showed me where the restaurant's going to be. It's this, it's this cute little place on 10th Street. Not too big, not too small. Just right.	The meeting with the guy went great?	So great! He showed me where the restaurant's going to be. It's this, it's this cute little place on 10th Street. Not too big, not too small. Just right.	1	1	1	1
5	8	14	1	Rachel	Joey	(Gasps) Are you breaking up with us?	The thing is…’cause I live with Rachel I’m here for a lot of the stuff, okay? (To Rachel) And Ross…Ross is missing everything. So…	Are you breaking up with us?	The thing is…’cause I live with Rachel I’m here for a lot of the stuff, okay? And Ross…Ross is missing everything. So…	5	4	4	4
6	5	13	2	Ross	Phoebe	Is everything okay?	Oh yeah, no-no-no. I'm fine. I'm okay, but umm, my Grandma sorta died.	Is everything okay?	I'm fine. I'm okay, but umm, my Grandma sorta died.	1	1	1	1
7	1	22	1	Monica	Phoebe	Oh, I can't pass for 22?	Well, maybe 25-26.	Oh, I can't pass for 22?	Well, maybe 25-26.	2	2	2	2
8	8	5	1	Chandler	Mr. Franklin	You know me sir. Oh ah, I do have a question for ya. Do you know how I get around the office computer network so I can access the really good Internet porn?	You’re a joker Bing. (Walks away.)	Do you know how I get around the office computer network so I can access the really good Internet porn?	You’re a joker Bing.	4	5	5	5
9	5	21	3	Rachel	Woman No. 1	Oh no! No! It's actually—it's very sweet. It's very sweet. Look! (Goes to pet it and it hisses at her.) Yeah, do you want it?	(laughs) No, I hate cats.	Do you want the cat?	I hate cats.	2	2	2	2
10	10	16	3	Ross	Joey	Yeah?	Who loses fifty seven coin tosses in a row? Head she wins, tails I lose. (he stops and starts realizing something) Wait a minute...	Yeah? You had a chance to stop her?	Who loses fifty seven coin tosses in a row? Head she wins, tails I lose. Wait a minute...	4	4	4	4
11	10	15	3	Rachel	Ross	You really think so?	I really do.	You really think I should go?	I really do.	1	1	1	1
12	2	3	2	Ross	Phoebe	Whoa, whoa, whoa. What, you don't, uh, you don't believe in evolution?	Nah. Not really.	What, you don't, uh, you don't believe in evolution?	Not really.	2	2	2	2
13	1	17	1	Joey	Phoebe	Why? Is it because I'm friends with Phoebe?	(as Ursula) If it was, would you stop hanging out with her?	Why? Is it because I'm friends with Phoebe?	If it was, would you stop hanging out with her?	4	4	4	4
14	7	9	1	Monica	Chandler	Oh please! (To Chandler) Did you hear that? Little drops of heaven.	(laughs) 4:00 A.M.	Did you hear that? Little drops of heaven.	4:00 A.M.	5	5	5	5
15	7	23	2	The Rabbi	Rachel	I don’t know. Are they Greek Orthodox?	Yeah! Yeah. They’re…they’re-they’re my friends, uh, Monica Stephanopolus and uh, and Chandler Acidofolus.	I don’t know. Are they Greek Orthodox?	They’re…they’re-they’re my friends, uh, Monica Stephanopolus and uh, and Chandler Acidofolus.	1	1	4	1
16	4	8	1	Chandler	Joey	Hey, look, what do you want me to say? Do you want me to say that I’ll stop seeing her?	Look, it’s not about her. Okay? But seeing you two together just reminds me of what you did. And I don’t want to live with some one who doesn’t know what it is to be a friend. So, I’ll see ya. (He starts to leave, but Chandler grabs his bag and stops him.)	Do you want me to say that I’ll stop seeing her?	Look, it’s not about her. Okay? But seeing you two together just reminds me of what you did. And I don’t want to live with some one who doesn’t know what it is to be a friend.	4	4	4	4
17	7	23	1	Ross	Mr. Geller	Yes! No-no! I know, I know what the list is! Mom! Look if you see Chandler, could you just let him know I’m looking for him?	And if you see Rita Moreno, let her know I’m looking for her.	Look if you see Chandler, could you just let him know I’m looking for him?	And if you see Rita Moreno, let her know I’m looking for her.	4	4	1	4
18	9	6	3	Rachel	Ross	(indignant) What, the blonde with no bra?	"She was blonde? (he looks surprised for a while, but then gets a ""gotcha"" expression on his face... There's knocking at the door.) Just a sec.! Okay, okay. This one's name is Sandy. She's got a degree in early childhood education, uhm... she worked for her last family for three years."	You mean the blonde with no bra?	She was blonde?	4	4	1	4
19	9	9	3	Monica	Chandler	Aren't you afraid that Joey's going to figure all of this out?� (pause)� I heard it.	I'm just going to wait for a little while.	Aren't you afraid that Joey's going to figure all of this out?	I'm just going to wait for a little while.	4	4	4	4
20	6	19	2	Phoebe	Chandler	Have you seen your guy’s body?	No, our guy is just a floating head.	Have you seen your guy’s body?	Our guy is just a floating head.	2	2	2	2
21	9	18	2	Phoebe	Ross	(still in sexy tone) Oooh, is daddy getting angry? Is daddy gonna spank me?	(tries to be sexy too) Well that depends ... have you been a baaad gi .. (stops) no I can't.	Oooh, is daddy getting angry? Is daddy gonna spank me?	I can't.	2	2	2	2
22	4	16	2	Rachel	Joshua	Well, congratulations, so do you love her?	No, no, no, she’s nice but, y’know, it just it made me realize that I’m just not, I’m just not ready to be dating, y’know?	Well, congratulations, so do you love her?	She’s nice but, y’know, it just it made me realize that I’m just not, I’m just not ready to be dating, y’know?	2	4	2	2
23	2	4	3	Ross	Rachel	Sexy?	Let me tell you something. As a woman there is nothing sexier than a man who does not want to have sex.	You think it’s sexy, if he doesn’t want sex?	Let me tell you something. As a woman there is nothing sexier than a man who does not want to have sex.	1	1	1	1
24	2	22	1	Monica	Chandler	Well, how bout just her mom?	Why her mom?	Well, can we invite just her mom?	Why her mom?	4	4	4	4
25	1	8	1	Chandler	Monica	Huh. Did, uh... any of the rest of you guys think that when you first met me?	I did.	Did, uh... any of the rest of you guys think that when you first met me?	I did.	1	1	1	1
26	5	1	1	Monica	Chandler	I’m gonna go to the bathroom, maybe I’ll see you there in a bit?	‘Kay!	I’m gonna go to the bathroom, maybe I’ll see you there in a bit?	‘Kay!	1	1	1	1
27	4	14	2	Charlton Heston	Joey	(shocked) You’re in this picture?	Yeah-yeah, I’m one of the cops that won’t work with you ‘cause you a lose cannon. Anyway, look, I’m really sorry, but I stink!	You’re in this picture?	I’m one of the cops that won’t work with you ‘cause you’re a lose cannon.	1	4	1	1
28	9	1	1	Monica	Mr. Geller	Isn’t she beautiful?	Look at her, my first grandchild.	Isn’t she beautiful?	Look at her, my first grandchild.	4	4	1	4
